iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 7342.00    , 3064.00    , 1.91461    , 37.2277    , 37.0000    , 3712.00    , 7199.20    , 7488.00    , 37.2268    , 0.00000    
   2,   1, 128, 128, 7064.00    , 3640.00    , 1.85776    , 47.8613    , 35.0000    , 4286.00    , 6833.52    , 7306.00    , 47.8493    , 0.00000    
   3,   1, 128, 128, 7286.00    , 2992.00    , 1.87436    , 39.1692    , 26.0000    , 3392.00    , 7210.86    , 7362.00    , 39.1690    , 0.00000    
   4,   1, 128, 128, 4021.00    , 1334.00    , 1.90215    , 29.8875    , 24.0000    , 2912.00    , 3607.79    , 7310.00    , 28.7817    , 0.00000    
   5,   1, 128, 128, 6284.00    , 2432.00    , 1.87539    , 40.8688    , 64.0000    , 4344.00    , 5417.97    , 7349.00    , 40.7118    , 1.00000    
   6,   1, 128, 128, 3825.00    , 1938.00    , 1.83100    , 38.6763    , 53.0000    , 5424.00    , 2742.65    , 7276.00    , 35.1221    , 0.00000    
   7,   1, 128, 128, 7397.00    , 2772.00    , 1.88276    , 39.4115    , 23.0000    , 3078.00    , 7346.41    , 7448.00    , 39.4113    , 0.00000    
   8,   1, 128, 128, 7237.00    , 2784.00    , 1.89248    , 42.0547    , 23.0000    , 3376.00    , 7052.42    , 7429.00    , 42.0475    , 0.00000    
   9,   1, 128, 128, 5659.00    , 2154.00    , 1.86636    , 41.6642    , 41.0000    , 4218.00    , 4509.93    , 7415.00    , 40.8797    , 0.00000    
  10,   1, 128, 128, 4061.00    , 1978.00    , 1.77998    , 40.5655    , 59.0000    , 4672.00    , 3279.28    , 7353.00    , 37.0662    , 0.00000    
