iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 7252.00    , 3756.00    , 1.90805    , 39.8729    , 39.0000    , 4318.00    , 7148.67    , 7357.00    , 39.8724    , 1.00000    
   2,   1, 128, 128, 4698.00    , 2114.00    , 1.82616    , 46.9621    , 60.0000    , 5778.00    , 3725.85    , 7357.00    , 44.1896    , 1.00000    
   3,   1, 128, 128, 4470.00    , 2368.00    , 1.81927    , 42.5905    , 107.000    , 6118.00    , 3440.36    , 7408.00    , 39.2367    , 1.00000    
   4,   1, 128, 128, 6633.00    , 4274.00    , 1.85972    , 44.9896    , 76.0000    , 6276.00    , 6001.34    , 7348.00    , 44.9394    , 0.00000    
   5,   1, 128, 128, 6863.00    , 6588.00    , 1.86005    , 44.7228    , 103.000    , 8656.00    , 6354.00    , 7421.00    , 44.6987    , 1.00000    
   6,   1, 128, 128, 6737.00    , 4052.00    , 1.81684    , 52.6153    , 78.0000    , 5890.00    , 6160.89    , 7394.00    , 52.5248    , 1.00000    
   7,   1, 128, 128, 4083.00    , 2288.00    , 1.87907    , 30.2094    , 116.000    , 7164.00    , 2804.33    , 7340.00    , 28.5669    , 0.00000    
   8,   1, 128, 128, 6746.00    , 3652.00    , 1.81712    , 50.9701    , 79.0000    , 5650.00    , 6129.36    , 7452.00    , 50.8801    , 1.00000    
   9,   1, 128, 128, 6813.00    , 3428.00    , 1.89464    , 44.2443    , 82.0000    , 5446.00    , 6352.17    , 7311.00    , 44.2332    , 1.00000    
  10,   1, 128, 128, 7303.00    , 3816.00    , 1.92145    , 42.7912    , 46.0000    , 4506.00    , 7186.99    , 7421.00    , 42.7908    , 0.00000    
