iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 5853.00    , 1896.00    , 1.90491    , 40.0690    , 39.0000    , 4896.00    , 4812.02    , 10680.0    , 37.8149    , 0.00000    
   2,   1, 128, 128, 9978.00    , 4092.00    , 1.89779    , 50.7520    , 45.0000    , 5670.00    , 9359.74    , 10651.0    , 50.7199    , 1.00000    
   3,   1, 128, 128, 8885.00    , 2718.00    , 1.87388    , 50.6621    , 23.0000    , 3742.00    , 7718.43    , 10594.0    , 49.8926    , 1.00000    
   4,   1, 128, 128, 10444.0    , 2630.00    , 1.90720    , 47.0943    , 17.0000    , 3008.00    , 10324.9    , 10565.0    , 47.0932    , 1.00000    
   5,   1, 128, 128, 9045.00    , 4026.00    , 1.87756    , 50.2579    , 58.0000    , 6202.00    , 7872.45    , 10585.0    , 49.8574    , 1.00000    
   6,   1, 128, 128, 10525.0    , 2750.00    , 1.90879    , 49.0930    , 19.0000    , 3144.00    , 10403.0    , 10649.0    , 49.0916    , 1.00000    
   7,   1, 128, 128, 9576.00    , 3110.00    , 1.88932    , 53.0295    , 38.0000    , 5038.00    , 8684.93    , 10631.0    , 52.8614    , 1.00000    
   8,   1, 128, 128, 10113.0    , 2354.00    , 1.90056    , 50.5835    , 43.0000    , 3682.00    , 9634.79    , 10629.0    , 50.5514    , 1.00000    
   9,   1, 128, 128, 9247.00    , 2204.00    , 1.88211    , 50.4124    , 34.0000    , 4036.00    , 8114.42    , 10639.0    , 50.1885    , 1.00000    
  10,   1, 128, 128, 10096.0    , 3714.00    , 1.90021    , 53.5257    , 62.0000    , 5548.00    , 9561.21    , 10666.0    , 53.5127    , 1.00000    
