iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 10422.0    , 5164.00    , 1.90676    , 48.7315    , 63.0000    , 6246.00    , 10203.0    , 10646.0    , 48.7307    , 1.00000    
   2,   1, 128, 128, 10122.0    , 3024.00    , 1.90074    , 47.7857    , 60.0000    , 4636.00    , 9648.90    , 10623.0    , 47.7753    , 1.00000    
   3,   1, 128, 128, 9781.00    , 3658.00    , 1.89368    , 49.9514    , 69.0000    , 6138.00    , 8950.09    , 10712.0    , 49.9000    , 1.00000    
   4,   1, 128, 128, 9571.00    , 5432.00    , 1.88921    , 53.7559    , 68.0000    , 7360.00    , 8695.09    , 10595.0    , 53.6116    , 1.00000    
   5,   1, 128, 128, 9713.00    , 3580.00    , 1.89224    , 51.2713    , 55.0000    , 5572.00    , 8894.80    , 10640.0    , 51.1939    , 1.00000    
   6,   1, 128, 128, 10394.0    , 5116.00    , 1.90621    , 48.2189    , 60.0000    , 6330.00    , 10113.4    , 10684.0    , 48.2153    , 1.00000    
   7,   1, 128, 128, 10424.0    , 4654.00    , 1.90680    , 52.1436    , 56.0000    , 5616.00    , 10223.3    , 10629.0    , 52.1426    , 1.00000    
   8,   1, 128, 128, 10158.0    , 3940.00    , 1.90148    , 52.7302    , 60.0000    , 5626.00    , 9672.34    , 10673.0    , 52.7182    , 1.00000    
   9,   1, 128, 128, 9735.00    , 4210.00    , 1.89271    , 49.1873    , 65.0000    , 6790.00    , 8906.27    , 10696.0    , 49.0841    , 1.00000    
  10,   1, 128, 128, 10289.0    , 6996.00    , 1.90412    , 49.2608    , 59.0000    , 8134.00    , 9963.36    , 10628.0    , 49.2546    , 1.00000    
