iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 4149.00    , 1336.00    , 1.87764    , 30.5965    , 13.0000    , 1432.00    , 4137.04    , 4161.00    , 30.5965    , 0.00000    
   2,   1, 128, 128, 3771.00    , 1596.00    , 1.89867    , 29.1946    , 31.0000    , 2546.00    , 3454.66    , 4131.00    , 29.1459    , 0.00000    
   3,   1, 128, 128, 3715.00    , 1934.00    , 1.87057    , 28.1858    , 47.0000    , 3056.00    , 3348.87    , 4134.00    , 28.1443    , 0.00000    
   4,   1, 128, 128, 2583.00    , 1980.00    , 1.82256    , 27.1914    , 49.0000    , 4964.00    , 1747.91    , 4052.00    , 26.5745    , 0.00000    
   5,   1, 128, 128, 2949.00    , 1096.00    , 1.92830    , 23.7227    , 28.0000    , 2658.00    , 2413.36    , 4144.00    , 23.1873    , 0.00000    
   6,   1, 128, 128, 3956.00    , 2452.00    , 1.80455    , 37.7049    , 34.0000    , 3044.00    , 3828.85    , 4088.00    , 37.7020    , 1.00000    
   7,   1, 128, 128, 3514.00    , 2172.00    , 1.81218    , 36.8655    , 45.0000    , 3572.00    , 3082.45    , 4036.00    , 36.7344    , 1.00000    
   8,   1, 128, 128, 3214.00    , 1226.00    , 1.87916    , 28.7972    , 23.0000    , 2374.00    , 2636.83    , 4120.00    , 28.2257    , 0.00000    
   9,   1, 128, 128, 3390.00    , 2176.00    , 1.75569    , 45.2576    , 69.0000    , 4304.00    , 2834.71    , 4078.00    , 45.1291    , 0.00000    
  10,   1, 128, 128, 3766.00    , 1290.00    , 1.87367    , 30.6055    , 37.0000    , 2378.00    , 3485.01    , 4076.00    , 30.5834    , 0.00000    
