iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 10035.0    , 6136.00    , 1.91631    , 43.9895    , 104.000    , 8844.00    , 9372.55    , 10757.0    , 43.9653    , 0.00000    
   2,   1, 128, 128, 10290.0    , 7084.00    , 1.90414    , 49.2517    , 68.0000    , 8512.00    , 9911.55    , 10688.0    , 49.2404    , 1.00000    
   3,   1, 128, 128, 10431.0    , 11012.0    , 1.90694    , 54.5827    , 87.0000    , 12166.0    , 10246.4    , 10619.0    , 54.5825    , 1.00000    
   4,   1, 128, 128, 10368.0    , 10298.0    , 1.90569    , 53.3873    , 103.000    , 11884.0    , 10078.8    , 10666.0    , 53.3861    , 1.00000    
   5,   1, 128, 128, 9140.00    , 7126.00    , 1.89051    , 44.9520    , 104.000    , 10780.0    , 7960.29    , 10649.0    , 44.6893    , 0.00000    
   6,   1, 128, 128, 10045.0    , 9090.00    , 1.89917    , 52.7032    , 105.000    , 11330.0    , 9518.15    , 10608.0    , 52.6863    , 1.00000    
   7,   1, 128, 128, 10109.0    , 7274.00    , 1.90048    , 48.5954    , 93.0000    , 9512.00    , 9576.61    , 10675.0    , 48.5864    , 1.00000    
   8,   1, 128, 128, 10428.0    , 7220.00    , 1.90688    , 46.3776    , 87.0000    , 8588.00    , 10204.1    , 10657.0    , 46.3773    , 1.00000    
   9,   1, 128, 128, 8930.00    , 7608.00    , 1.87492    , 50.8283    , 106.000    , 11008.0    , 7675.33    , 10621.0    , 50.3402    , 1.00000    
  10,   1, 128, 128, 10390.0    , 10628.0    , 1.90613    , 51.5215    , 90.0000    , 12086.0    , 10118.8    , 10669.0    , 51.5201    , 1.00000    
