iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 2891.00    , 3022.00    , 1.77545    , 31.6391    , 91.0000    , 6314.00    , 2126.15    , 4047.00    , 31.2451    , 0.00000    
   2,   1, 128, 128, 1344.00    , 1158.00    , 1.81005    , 17.6110    , 116.000    , 6094.00    , 839.993    , 4100.00    , 16.7329    , 0.00000    
   3,   1, 128, 128, 3127.00    , 2000.00    , 1.88487    , 26.1266    , 72.0000    , 4614.00    , 2479.16    , 4078.00    , 25.7990    , 0.00000    
   4,   1, 128, 128, 2161.00    , 2272.00    , 1.79540    , 26.4132    , 117.000    , 6756.00    , 1307.83    , 4110.00    , 24.9989    , 0.00000    
   5,   1, 128, 128, 3819.00    , 3704.00    , 1.73822    , 40.8194    , 87.0000    , 5244.00    , 3546.12    , 4114.00    , 40.8138    , 1.00000    
   6,   1, 128, 128, 1878.00    , 1080.00    , 1.83734    , 25.3282    , 75.0000    , 4152.00    , 1421.48    , 4014.00    , 23.5913    , 0.00000    
   7,   1, 128, 128, 1917.00    , 2776.00    , 1.77318    , 24.9909    , 138.000    , 7994.00    , 1086.04    , 4105.00    , 23.3309    , 0.00000    
   8,   1, 128, 128, 1657.00    , 1492.00    , 1.84152    , 18.3830    , 111.000    , 6694.00    , 1074.38    , 4091.00    , 18.4316    , 0.00000    
   9,   1, 128, 128, 1783.00    , 2198.00    , 1.80342    , 21.8490    , 135.000    , 7474.00    , 1040.27    , 4085.00    , 20.7474    , 0.00000    
  10,   1, 128, 128, 1177.00    , 1594.00    , 1.72346    , 22.9590    , 107.000    , 7384.00    , 922.524    , 4127.00    , 19.9623    , 0.00000    
