iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 1708.00    , 2268.00    , 1.79306    , 25.6060    , 160.000    , 8400.00    , 1026.71    , 4079.00    , 23.3521    , 0.00000    
   2,   1, 128, 128, 2006.00    , 3368.00    , 1.74791    , 25.5484    , 188.000    , 8900.00    , 1162.38    , 4081.00    , 23.9799    , 0.00000    
   3,   1, 128, 128, 2572.00    , 3462.00    , 1.77704    , 29.7647    , 196.000    , 8838.00    , 1706.83    , 4051.00    , 29.2604    , 0.00000    
   4,   1, 128, 128, 2154.00    , 3182.00    , 1.81895    , 23.7091    , 153.000    , 8330.00    , 1417.70    , 4093.00    , 23.1714    , 0.00000    
   5,   1, 128, 128, 3299.00    , 3508.00    , 1.82597    , 30.6956    , 168.000    , 7024.00    , 2662.24    , 4102.00    , 30.6451    , 0.00000    
   6,   1, 128, 128, 1914.00    , 2516.00    , 1.78174    , 21.8430    , 186.000    , 7860.00    , 1348.17    , 4099.00    , 20.5533    , 0.00000    
   7,   1, 128, 128, 1848.00    , 4040.00    , 1.62124    , 40.3053    , 194.000    , 11226.0    , 946.931    , 4100.00    , 38.0000    , 0.00000    
   8,   1, 128, 128, 2124.00    , 2716.00    , 1.81563    , 24.9511    , 89.0000    , 6284.00    , 1807.82    , 4100.00    , 23.8928    , 0.00000    
   9,   1, 128, 128, 2695.00    , 3176.00    , 1.76650    , 28.2175    , 154.000    , 7480.00    , 1952.38    , 4154.00    , 27.2261    , 0.00000    
  10,   1, 128, 128, 1581.00    , 1432.00    , 1.78473    , 23.8309    , 177.000    , 7544.00    , 959.825    , 4041.00    , 21.4599    , 0.00000    
