2010 1 1
2011 1 5
2012 1 19
2013 1 33
2014 1 61
2015 1 113
2016 1 261
2017 1 629
2018 1 1459
2019 1 3283
2020 1 7137
2021 1 14930
2022 1 29188
2023 1 50768
2024 1 76789
2025 1 101049
2026 1 117994
2027 1 128579
2028 1 135109
2029 1 138802
2030 1 140777
2031 1 141834
2032 1 142481
2033 1 142623
2034 1 142640
2035 1 142751
2036 1 142627
2037 1 142845
2038 1 142498
2039 1 142804
2040 1 142872
2041 1 142698
2042 1 142842
2043 1 142847
2044 1 142772
2045 1 142663
2046 1 142783
2047 1 142822
2048 1 142925
2049 1 142920
2050 1 142694
