2010 1 1
2011 1 5
2012 1 19
2013 1 39
2014 1 82
2015 1 173
2016 1 403
2017 1 889
2018 1 1925
2019 1 4403
2020 1 9474
2021 1 18704
2022 1 34198
2023 1 55933
2024 1 80753
2025 1 103486
2026 1 119861
2027 1 130470
2028 1 136424
2029 1 139742
2030 1 141502
2031 1 141780
2032 1 142297
2033 1 143436
2034 1 142878
2035 1 142460
2036 1 143055
2037 1 142777
2038 1 143044
2039 1 142686
2040 1 142836
2041 1 142519
2042 1 143077
2043 1 142794
2044 1 142807
2045 1 143283
2046 1 143318
2047 1 143177
2048 1 143244
2049 1 143055
2050 1 142971
