2010 1 1
2011 1 5
2012 1 14
2013 1 22
2014 1 44
2015 1 80
2016 1 124
2017 1 265
2018 1 496
2019 1 893
2020 1 1530
2021 1 2418
2022 1 3712
2023 1 5801
2024 1 8987
2025 1 13280
2026 1 18582
2027 1 23379
2028 1 27499
2029 1 30510
2030 1 33094
2031 1 35086
2032 1 36925
2033 1 38240
2034 1 39081
2035 1 39779
2036 1 40181
2037 1 40618
2038 1 40733
2039 1 40770
2040 1 41057
2041 1 41434
2042 1 41433
2043 1 41629
2044 1 41307
2045 1 41248
2046 1 41408
2047 1 41523
2048 1 41565
2049 1 41553
2050 1 41401
