2010 1 1
2011 1 5
2012 1 14
2013 1 24
2014 1 39
2015 1 72
2016 1 129
2017 1 224
2018 1 419
2019 1 862
2020 1 1639
2021 1 3093
2022 1 5655
2023 1 9606
2024 1 14554
2025 1 19766
2026 1 24019
2027 1 27264
2028 1 30057
2029 1 32406
2030 1 34370
2031 1 36463
2032 1 37689
2033 1 38647
2034 1 39385
2035 1 39770
2036 1 40463
2037 1 40598
2038 1 40774
2039 1 41214
2040 1 41236
2041 1 41245
2042 1 41183
2043 1 41025
2044 1 41405
2045 1 41193
2046 1 41297
2047 1 41294
2048 1 41385
2049 1 41200
2050 1 41469
